#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1       1.542       1.542           0
           2     1.54185     1.54193 5.25616e-05
           3     1.54141     1.54175 0.000145791
           4     1.54066     1.54148  0.00025983
           5     1.53963     1.54111  0.00039146
           6     1.53829     1.54064 0.000538562
           7     1.53667     1.54007 0.000699625
           8     1.53474     1.53941 0.000873495
           9     1.53253     1.53864  0.00105926
          10     1.53002     1.53778   0.0012561
          11     1.52722     1.53682  0.00146339
          12     1.52413     1.53576  0.00168061
          13     1.52075     1.53461   0.0019072
          14     1.51708     1.53336  0.00214266
          15     1.51313     1.53201   0.0023866
          16     1.50889     1.53056  0.00263865
          17     1.50438     1.52902  0.00289843
          18     1.49958     1.52739  0.00316561
          19     1.49449     1.52566  0.00343993
          20     1.48913     1.52383  0.00372119
          21     1.48349     1.52191  0.00400921
          22     1.47757     1.51989  0.00430375
          23     1.47138     1.51778  0.00460463
          24     1.46491     1.51558  0.00491169
          25     1.45816     1.51328  0.00522477
          26     1.45113     1.51089  0.00554375
          27     1.44383     1.50841  0.00586851
          28     1.43626     1.50583  0.00619891
          29     1.42841     1.50316  0.00653479
          30      1.4203      1.5004  0.00687603
          31     1.41191     1.49755   0.0072225
          32     1.40326      1.4946  0.00757405
          33     1.39434     1.49156  0.00793053
          34     1.38516     1.48843  0.00829182
          35     1.37571     1.48521  0.00865777
          36     1.36601      1.4819  0.00902827
          37     1.35605      1.4785  0.00940316
          38     1.34584     1.47501  0.00978231
          39     1.33538     1.47143   0.0101656
          40     1.32467     1.46776   0.0105527
          41     1.31373       1.464   0.0109437
          42     1.30254     1.46016   0.0113383
          43     1.29112     1.45623   0.0117363
          44     1.27947     1.45221   0.0121376
          45      1.2676     1.44811    0.012542
          46     1.25551     1.44392   0.0129494
          47      1.2432     1.43965   0.0133596
          48     1.23068      1.4353   0.0137723
          49     1.21796     1.43086   0.0141875
          50     1.20505     1.42634   0.0146049
          51     1.19195     1.42175   0.0150243
          52     1.17866     1.41707   0.0154455
          53      1.1652     1.41232   0.0158684
          54     1.15157     1.40749   0.0162927
          55     1.13778     1.40259   0.0167181
          56     1.12384     1.39761   0.0171446
          57     1.10976     1.39256   0.0175719
          58     1.09554     1.38744   0.0179997
          59      1.0812     1.38225   0.0184278
          60     1.06675     1.37699    0.018856
          61     1.05219     1.37167    0.019284
          62     1.03753     1.36628   0.0197117
          63      1.0228     1.36082   0.0201387
          64     1.00799     1.35531   0.0205648
          65    0.993122     1.34974   0.0209897
          66    0.978205     1.34411   0.0214133
          67    0.963251     1.33843   0.0218351
          68    0.948273     1.33269   0.0222551
          69    0.933283      1.3269   0.0226728
          70    0.918293     1.32106   0.0230881
          71    0.903317     1.31518   0.0235007
          72    0.888367     1.30925   0.0239102
          73    0.873457     1.30328   0.0243165
          74    0.858601     1.29727   0.0247193
          75    0.843812     1.29123   0.0251182
          76    0.829102     1.28515   0.0255131
          77    0.814487     1.27903   0.0259036
          78    0.799979     1.27289   0.0262896
          79    0.785592     1.26672   0.0266706
          80    0.771341     1.26053   0.0270465
          81    0.757239     1.25432    0.027417
          82    0.743298     1.24808   0.0277819
          83    0.729533     1.24184   0.0281409
          84    0.715955     1.23558   0.0284938
          85    0.702579     1.22931   0.0288403
          86    0.689416     1.22303   0.0291802
          87    0.676478     1.21675   0.0295133
          88    0.663778     1.21046   0.0298394
          89    0.651327     1.20418   0.0301582
          90    0.639136      1.1979   0.0304696
          91    0.627217     1.19163   0.0307734
          92    0.615578     1.18537   0.0310693
          93     0.60423     1.17912   0.0313574
          94    0.593182     1.17289   0.0316373
          95    0.582444     1.16667   0.0319089
          96    0.572022     1.16048   0.0321721
          97    0.561926     1.15431   0.0324268
          98     0.55216     1.14816   0.0326729
          99    0.542733     1.14205   0.0329102
         100    0.533649     1.13596   0.0331387
         101    0.524913     1.12991   0.0333583
         102    0.516531      1.1239   0.0335689
         103    0.508505     1.11792   0.0337705
         104    0.500839     1.11199    0.033963
         105    0.493535      1.1061   0.0341465
         106    0.486595     1.10026   0.0343209
         107     0.48002     1.09446   0.0344861
         108     0.47381     1.08871   0.0346423
         109    0.467965     1.08302   0.0347895
         110    0.462485     1.07738   0.0349276
         111    0.457368     1.07179   0.0350567
         112    0.452612     1.06626   0.0351769
         113    0.448215     1.06079   0.0352883
         114    0.444173     1.05538   0.0353908
         115    0.440484     1.05004   0.0354847
         116    0.437142     1.04475     0.03557
         117    0.434144     1.03954   0.0356468
         118    0.431485     1.03438   0.0357152
         119    0.429158      1.0293   0.0357753
         120    0.427157     1.02428   0.0358274
         121    0.425477     1.01933   0.0358714
         122    0.424111     1.01445   0.0359077
         123    0.423052     1.00964   0.0359362
         124    0.422293     1.00491   0.0359572
         125    0.421825     1.00024   0.0359708
         126    0.421641     0.99565   0.0359773
         127    0.421734    0.991131   0.0359767
         128    0.422095    0.986685   0.0359692
         129    0.422715    0.982313   0.0359551
         130    0.423586    0.978015   0.0359345
         131    0.424699    0.973791   0.0359076
         132    0.426046    0.969642   0.0358745
         133    0.427617    0.965566   0.0358355
         134    0.429404    0.961565   0.0357908
         135    0.431397    0.957638   0.0357404
         136    0.433589    0.953785   0.0356848
         137    0.435969    0.950005   0.0356239
         138    0.438529    0.946299    0.035558
         139    0.441259    0.942665   0.0354874
         140    0.444152    0.939105   0.0354121
         141    0.447198    0.935616   0.0353324
         142    0.450389    0.932199   0.0352484
         143    0.453716    0.928853   0.0351604
         144    0.457171    0.925577   0.0350684
         145    0.460746    0.922371   0.0349728
         146    0.464433    0.919235   0.0348736
         147    0.468223    0.916167   0.0347711
         148    0.472108    0.913166   0.0346654
         149    0.476081    0.910233   0.0345566
         150    0.480134    0.907366    0.034445
         151     0.48426    0.904564   0.0343307
         152    0.488452    0.901826   0.0342138
         153    0.492702    0.899152   0.0340945
         154    0.497006    0.896541   0.0339729
         155    0.501355    0.893991   0.0338493
         156    0.505742    0.891502   0.0337237
         157    0.510163    0.889073   0.0335962
         158    0.514612    0.886703   0.0334671
         159    0.519081    0.884391   0.0333364
         160    0.523566    0.882136   0.0332042
         161    0.528063    0.879937   0.0330707
         162    0.532565    0.877793    0.032936
         163    0.537067    0.875702   0.0328002
         164    0.541565    0.873665   0.0326635
         165    0.546055    0.871679   0.0325258
         166    0.550532    0.869745   0.0323873
         167    0.554993     0.86786   0.0322482
         168    0.559433    0.866024   0.0321085
         169    0.563849    0.864236   0.0319682
         170    0.568237    0.862495   0.0318275
         171    0.572594      0.8608   0.0316865
         172    0.576917    0.859149   0.0315453
         173    0.581202    0.857542   0.0314038
         174    0.585447    0.855979   0.0312622
         175    0.589649    0.854457   0.0311206
         176    0.593804    0.852976    0.030979
         177    0.597912    0.851535   0.0308375
         178    0.601968    0.850133   0.0306961
         179    0.605973    0.848769   0.0305549
         180    0.609922    0.847442    0.030414
         181    0.613815    0.846151   0.0302733
         182     0.61765    0.844896    0.030133
         183    0.621424    0.843674   0.0299931
         184    0.625136    0.842487   0.0298536
         185    0.628784    0.841332   0.0297145
         186    0.632368    0.840208    0.029576
         187    0.635884    0.839115    0.029438
         188    0.639333    0.838053   0.0293006
         189    0.642712    0.837019   0.0291638
         190     0.64602    0.836014   0.0290276
         191    0.649256    0.835036   0.0288921
         192     0.65242    0.834085   0.0287573
         193     0.65551     0.83316   0.0286232
         194    0.658525     0.83226   0.0284898
         195    0.661463    0.831384   0.0283571
         196    0.664322    0.830531   0.0282253
         197    0.667103    0.829702   0.0280942
         198    0.669803    0.828894   0.0279639
         199    0.672424    0.828108   0.0278344
         200    0.674962    0.827342   0.0277058
         201    0.677417    0.826596    0.027578
         202    0.679789    0.825869    0.027451
         203    0.682077    0.825161   0.0273249
         204     0.68428    0.824471   0.0271997
         205    0.686397    0.823797   0.0270754
         206    0.688428     0.82314   0.0269519
         207    0.690371    0.822499   0.0268293
         208    0.692228    0.821872   0.0267077
         209    0.693996     0.82126   0.0265869
         210    0.695676    0.820662    0.026467
         211    0.697268    0.820078    0.026348
         212    0.698771    0.819505     0.02623
         213    0.700183    0.818945   0.0261128
         214    0.701505    0.818396   0.0259965
         215    0.702737    0.817858   0.0258812
         216    0.703879    0.817331   0.0257668
         217     0.70493    0.816813   0.0256532
         218    0.705892    0.816304   0.0255406
         219    0.706764    0.815804   0.0254289
         220    0.707547    0.815312    0.025318
         221    0.708242    0.814827   0.0252081
         222    0.708849     0.81435   0.0250991
         223     0.70937    0.813879   0.0249909
         224    0.709804    0.813414   0.0248837
         225    0.710152    0.812955   0.0247773
         226    0.710416    0.812502   0.0246718
         227    0.710596    0.812053   0.0245672
         228    0.710694    0.811608   0.0244635
         229    0.710711    0.811168   0.0243607
         230    0.710648    0.810731   0.0242587
         231    0.710508    0.810297   0.0241575
         232    0.710291    0.809866   0.0240572
         233        0.71    0.809437   0.0239578
         234    0.709638    0.809011   0.0238592
         235    0.709206    0.808586   0.0237615
         236    0.708708    0.808163   0.0236646
         237    0.708145    0.807741   0.0235685
         238     0.70752     0.80732   0.0234732
         239    0.706836    0.806899   0.0233788
         240    0.706095    0.806479   0.0232851
         241    0.705301    0.806059   0.0231923
         242    0.704457    0.805639   0.0231002
         243    0.703565    0.805219    0.023009
         244    0.702628    0.804799   0.0229185
         245    0.701651    0.804378   0.0228289
         246    0.700638    0.803956     0.02274
         247     0.69959    0.803534   0.0226518
         248    0.698514     0.80311   0.0225644
         249    0.697413    0.802686   0.0224778
         250    0.696289     0.80226   0.0223919
         251    0.695145    0.801833   0.0223068
         252    0.693986    0.801405   0.0222224
         253    0.692816    0.800976   0.0221387
         254    0.691638    0.800546   0.0220557
         255    0.690455    0.800114   0.0219734
         256    0.689271    0.799681   0.0218919
         257    0.688092    0.799247    0.021811
         258    0.686921    0.798811   0.0217308
         259    0.685761    0.798375   0.0216513
         260    0.684614    0.797937   0.0215724
         261    0.683485    0.797499   0.0214942
         262    0.682376     0.79706   0.0214167
         263    0.681292    0.796619   0.0213398
